,Brands,Styles,Prices,Reduced_Prices,Available_in_Multiple_Colors
792,Skechers,Overhaul,245 ,245 SAR,0
793,Skechers,Go Run 600,265 ,265 SAR,0
794,Lacoste,Esparre Sneakers,499 ,499 SAR,0
797,Skechers,Harper,260 ,260 SAR,0
798,Asics,Gelsaga,470 ,470 SAR,0
801,Skechers,Terrabite,295 ,295 SAR,0
802,adidas,Streetflow,350 ,350 SAR,0
803,adidas,SenseBounce Street,375 ,375 SAR,0
805,Reef,Twinpin Lux,149 ,149 SAR,0
806,adidas,Powerlift 4,475 ,475 SAR,0
807,Converse,Chuck Taylor All Star,295 ,295 SAR,1
808,Nike,Renew Retaliation TR,369 ,369 SAR,0
810,Under Armour,Spawn Mid,599 ,599 SAR,0
813,Skechers,Go Walk Evolution Ultra,285 ,285 SAR,0
814,Skechers,Go Walk Revolution Ultra,325 ,325 SAR,0
816,Skechers,Go Walk Max,225 ,225 SAR,0
818,Nike,Superfly 6 Club CR7 FG,399 ,399 SAR,0
819,Tommy Hilfiger,Essential Modern Mesh Sneakers,335 ,335 SAR,0
821,Seventy Five,Chunky Sneakers,159 ,159 SAR,0
822,Reef,Fanning Low,229 ,229 SAR,0
823,Skechers,Summits - South Rim,240 ,240 SAR,0
824,Puma,Popcat Slides,120 ,120 SAR,1
825,adidas,Solar Drive 19,549 ,549 SAR,0
826,Reebok,Nano 9,605 ,605 SAR,0
827,adidas,Courtsmash,250 ,250 SAR,1
830,adidas,Alphabounce BB Slides,209 ,209 SAR,0
831,Robert Wood,Casual Boots,159 ,159 SAR,1
832,Skechers,Go Walk Max,230 ,230 SAR,0
834,Puma,Inhale,495 ,495 SAR,0
837,Steve Madden,Bansang Sandals,449 ,449 SAR,0
842,Brave Soul,Dual Strap Sandals,69 ,69 SAR,0
844,Onitsuka Tiger,New York,373 ,373 SAR,0
845,Reebok,Legacy Lifter,835 ,835 SAR,0
847,Skechers,Oak Canyon,245 ,245 SAR,0
848,Steve Madden,Talbot Slip Ons,429 ,429 SAR,0
851,Steve Madden,Ridge Sneakers,499 ,499 SAR,1
852,Nike,Zoom Janoski Cnvs RM PRM,429 ,429 SAR,0
855,Robert Wood,Formal Slip ons,139 ,139 SAR,1
856,Skechers,Go Run Mojo,275 ,275 SAR,0
857,adidas,Adissage TND Slides,165 ,165 SAR,0
858,Steve Madden,Kalypso Loafers,449 ,449 SAR,1
859,Steve Madden,Bansang Sandals,449 ,449 SAR,1
861,Puma,Auriz,230 ,230 SAR,0
862,Robert Wood,Perforated Toe Cap Oxford Lace Ups,139 ,139 SAR,1
863,Asics,Jolt 2,205 ,205 SAR,0
868,Steve Madden,Eager Lace Ups,499 ,499 SAR,1
870,Lacoste,Casual L.Ydro Slip Ons,419 ,419 SAR,1
874,Vans,Era,269 ,269 SAR,0
877,Fila, Venom Low,500 ,500 SAR,0
884,Jack & Jones,Vision Suede Sneakers,220 ,220 SAR,0
885,Steve Madden,Edmand Slip Ons,479 ,479 SAR,0
888,Havaianas,Classic Flip Flops,85 ,85 SAR,1
889,Topman,Chant Derby Lace Ups,175 ,175 SAR,0
890,Ecco,Flowt LX Sandals,699 ,699 SAR,0
891,Comfort Plus,Double Strap Sandals,245 ,245 SAR,0
892,Call It Spring,Dunn Sneakers,209 ,209 SAR,0
897,Steve Madden,Ralley Slides,199 ,199 SAR,0
898,Topman,Suede Kendrick Lace Ups,225 ,225 SAR,0
901,adidas,D.O.N. Issue #1,499 ,499 SAR,1
905,adidas Originals,Adilette Slides,165 ,165 SAR,1
906,adidas Originals,Yung-96 Chasm,475 ,475 SAR,1
909,Brave Soul,California Slip Ons,139 ,139 SAR,0
911,Ted Baker,Renver Nubuck Slip Ons,649 ,649 SAR,0
913,Jack & Jones,Logo Flip Flops,39 ,39 SAR,0
914,Nike,MD Runner 2,369 ,369 SAR,0
915,Reebok,Runner 3.0,290 ,290 SAR,1
917,Reebok,Royal Bridge 3,340 ,340 SAR,0
918,Asics,GEL-BND,395 ,395 SAR,0
919,Nike,Air Max Sequent 4.5 SE,569 ,569 SAR,0
920,Fila,Venom low,490 ,490 SAR,0
921,Nike,SB Air Max Janoski 2 PRM,699 ,699 SAR,0
923,Tommy Hilfiger,Essential Beach Flip Flops,185 ,185 SAR,1
924,Nike,Romaleos 3 XD,949 ,949 SAR,0
925,Nike,SB Zoom Janoski Canvas RM,469 ,469 SAR,1
927,Brave Soul,Eldon Slip Ons,139 ,139 SAR,0
929,Seventy Five,Chunky High Top Sneakers,159 ,159 SAR,0
930,Topman,Bryant Brogue Lace Ups,175 ,175 SAR,1
931,Burton,Sibley Brogue Lace Ups,245 ,245 SAR,0
932,Call It Spring,Erirawen Sneakers,159 ,159 SAR,0
933,Umbro,Maxima,355 ,355 SAR,0
936,Asics,GEL-Kayano 5 OG,615 ,615 SAR,0
939,Jack & Jones,Warren Slip Ons,109 ,109 SAR,1
940,Tommy Jeans,Logo Beach  Flip Flops,189 ,189 SAR,0
941,OBEY,Warrior Leopard Sneaker,295 ,295 SAR,1
943,New Balance,997H,419 ,419 SAR,0
945,Robert Wood,Formal Slip Ons,139 ,139 SAR,0
947,Robert Wood,Faux Leather Casual Flip Flops,79 ,79 SAR,1
949,Puma,Leadcat Slides,120 ,120 SAR,0
950,Reebok,Flexagon Force,340 ,340 SAR,0
951,Robert Wood,Classic Saddle Detail Moccasins,119 ,119 SAR,0
956,OBEY,Warrior Leopard Sneaker,315 ,315 SAR,1
957,Puma,Future Runner Premium,340 ,340 SAR,0
958,Superdry,Retro Colour Block Pool Slides,99 ,99 SAR,0
959,Nike,SB Zoom Blazer Low GT NBA,449 ,449 SAR,0
960,Asics,Patriot 11,265 ,265 SAR,0
962,Asics,GEL-Dedicate 6,290 ,290 SAR,0
963,Reebok,Club C Vector,395 ,395 SAR,0
966,Robert Wood,Formal Diver Moccasins,119 ,119 SAR,1
967,Aldo,Ulzia Slides,129 ,129 SAR,0
968,Reebok,Speedlux 3.0,220 ,220 SAR,0
969,Robert Wood,Faux Leather Casual Lace Ups,139 ,139 SAR,1
970,Vans,Harry Potter Ravenclaw Authentic,269 ,269 SAR,0
971,Reebok,Classics Leather MU,415 ,415 SAR,0
973,Asics,GEL-Quantum 360 5,765 ,765 SAR,0
974,Jason Markk,Quick Wipes 3er Pack,20 ,20 SAR,0
975,Vans,Anaheim Factory Classic Slip on 98 DX,269 ,269 SAR,0
976,Asics,Roadhawk FF 2,520 ,520 SAR,0
977,adidas Originals,Yung-96,425 ,425 SAR,0
979,Jack & Jones,Carlo Suede Loafers,259 ,259 SAR,1
980,Tommy Hilfiger,Tommy Jeans Flag Espadrille,349 ,349 SAR,0
981,Vans,Bold Ni,299 ,299 SAR,0
982,Emporio Armani,Casual Slides,329 ,329 SAR,0
983,Burton,Bovey Plimsoll Sneakers,135 ,135 SAR,0
984,Seventy Five,Casual Brogue Sneakers,129 ,129 SAR,1
985,Call It Spring,Wattkins Moccasins,289 ,289 SAR,1
987,Aldo,Erez Slip ons,599 ,599 SAR,0
988,Robert Wood,Faux Leather Casual Slip Ons,139 ,139 SAR,1
989,Robert Wood,Faux Leather Casual Slip Ons,119 ,119 SAR,1
991,Aldo,Derivia Sandals,369 ,369 SAR,0
992,Tommy Hilfiger,Seasonal Print Slip Ons,355 ,355 SAR,0
993,Seventy Five,Casual Sneakers,119 ,119 SAR,1
994,Selected Homme,Suede Espadrilles,295 ,295 SAR,0
995,Aldo,Zomba Slip ons,569 ,569 SAR,0
996,Seventy Five,Faux Leather Casual Slip ons,139 ,139 SAR,0
997,Topman,Essential Sneakers,249 ,249 SAR,0
999,Robert Wood,Faux Suede Horsebit Detail Slip Ons,139 ,139 SAR,1
1000,Ted Baker,Eshron Text Sneakers,379 ,379 SAR,1
1001,Call It Spring,Zenne Slip ons,209 ,209 SAR,0
1002,Asics,GEL-Cumulus 21,625 ,625 SAR,0
1003,Selected Homme,David Sneakers,475 ,475 SAR,0
1004,Emporio Armani,Casual Flip Flops,329 ,329 SAR,0
1005,Robert Wood,Faux Leather Lace Up,139 ,139 SAR,1
1006,Slydes,Double Strap Sandals,95 ,95 SAR,0
1011,adidas Originals,Adilette Slides,159 ,159 SAR,1
1012,Vans,Anaheim Factory Era 95 DX,289 ,289 SAR,0
1013,Seventy Five,High Top Sneakers,139 ,139 SAR,1
1014,Seventy Five,Summer Espadrilles,99 ,99 SAR,0
1015,Jason Markk,Quick Wipes Box Of 30,105 ,105 SAR,0
1016,Seventy Five,Striped Summer Espadrilles,99 ,99 SAR,1
1017,Asics,GEL-Nimbus 21 Mugen,835 ,835 SAR,0
1018,Puma,Popcat Reinvent Slides,120 ,120 SAR,0
1019,Puma,Virat Kohli Hybrid NX One8,420 ,420 SAR,0
1020,Skechers,On-The-Go 600,240 ,240 SAR,0
1021,Reebok,Royal Complete CLN,235 ,235 SAR,0
1022,Skechers,Go Run Fast,245 ,245 SAR,1
1023,Havaianas,Logo Flip Flops,120 ,120 SAR,0
1024,Puma,NRGY Star,320 ,320 SAR,0
1025,Lacoste,Croco 119 Logo  Slides,139 ,139 SAR,1
1026,FitFlop,Freeway III Sandals,385 ,385 SAR,1
1027,adidas,Essence,275 ,275 SAR,0
1029,Mango MAN,Ibiza Gladiator Sandals,279 ,279 SAR,0
1030,Aldo,Aauwen Lace Ups,281 ,281 SAR,0
1031,Tommy Jeans,Technical Mesh Flip Flops,169 ,169 SAR,0
1032,Seventy Five,Knitted Sneakers,139 ,139 SAR,0
1034,Aldo,Norewiel Sandals,129 ,129 SAR,0
1035,Reebok,Driftium,290 ,290 SAR,1
1037,Puma,Rebound LayUp Mesh,295 ,295 SAR,0
1038,Nike,Flex Experience RN 8,369 ,369 SAR,1
1041,adidas,Copa 19.4 TF,240 ,240 SAR,0
1042,Puma,Nucleus,295 ,295 SAR,0
1044,Nike,Zoom Stefan Janoski OG,399 ,399 SAR,0
1048,Puma,Cozy Flip,90 ,90 SAR,0
1050,Aldo,Abruzzino Slip ons,299 ,299 SAR,0
1051,Skechers,Elite Flex,295 ,295 SAR,0
1052,Burton,Essential Sneakers,159 ,159 SAR,0
1056,Robert Wood,Classic Brogue Oxford Lace Ups,139 ,139 SAR,1
1057,Robert Wood,Casual Lace Ups,119 ,119 SAR,0
1058,On Running,CloudSwift,790 ,790 SAR,0
1065,adidas Originals,Pharrell Williams Tennis Hu,475 ,475 SAR,0
1066,Aldo,Qaledien Sandals,399 ,399 SAR,0
1067,Reebok,Quick Motion,255 ,255 SAR,0
1068,Seventy Five,Lycra Sports Sneakers,119 ,119 SAR,1
1069,Puma,Rapido TT,190 ,190 SAR,0
1070,Superdry,Scuba Faded Logo Flip Flops,89 ,89 SAR,0
1072,Skechers,Equalizer,260 ,260 SAR,0
1073,Nike,Viale,399 ,399 SAR,0
1074,adidas,Cosmic 2,299 ,299 SAR,0
1075,Brave Soul,Gator Sandals,49 ,49 SAR,0
1076,Puma,Wired Mesh 2.0,245 ,245 SAR,0
1077,Seventy Five,Check Print Soft Bedroom Slippers,49 ,49 SAR,1
1080,Tommy Hilfiger,Lightweight Knit Flag Sneakers,355 ,355 SAR,0
1082,Lacoste,Maricle Slipons,300 ,300 SAR,0
1086,Tommy Jeans,Plimsolls  Slip Ons,289 ,289 SAR,0
1087,Burton,Casual Slip Ons,149 ,149 SAR,0
1089,Burton,Casual Slip Ons,129 ,129 SAR,1
1092,Superdry,Trophy 2.0 Flip Flops,89 ,89 SAR,0
1093,Call It Spring,Ybiari Slip Ons,239 ,239 SAR,0
1096,Ecco,Dress Moccasins,799 ,799 SAR,0
1097,Skechers,Go Run 600,275 ,275 SAR,0
1099,Jack & Jones,Thai Sneakers,185 ,185 SAR,0
1101,Jack & Jones,Nimbus Canvas Mix Sneakers,129 ,129 SAR,1
1102,Skechers,D'Lites,275 ,275 SAR,0
1104,Skechers,Relven,295 ,295 SAR,1
1105,adidas Originals,Swift Run,425 ,425 SAR,0
1106,Nike,Sb Check Solar Cnvs,269 ,269 SAR,0
1107,adidas Originals,3MC,325 ,325 SAR,0
1109,Skechers,Go Walk 4,260 ,260 SAR,0
1110,adidas,Runfalcon,249 ,249 SAR,1
1113,Nike,Air Jordan 1 Low,499 ,499 SAR,0
1116,Skechers,Go Flex 2 - Compact,260 ,260 SAR,0
1118,adidas,Senseboost Go,549 ,549 SAR,0
1125,Skechers,On-The-Go Glide,245 ,245 SAR,0
1128,Skechers,D'Lite Ultra,300 ,300 SAR,0
1129,Skechers,Dynamight 2.0,215 ,215 SAR,0
1130,adidas Originals,Continental 80,475 ,475 SAR,1
1134,Aldo,Adaon Sneakers,299 ,299 SAR,0
1137,Ted Baker,Rastal Slides,235 ,235 SAR,1
1138,Skechers,Go Walk 4 - Convertible,280 ,280 SAR,0
1140,Nike,Air Versitile III,399 ,399 SAR,0
1141,Skechers,Energy- After Burn,250 ,250 SAR,0
1142,Nike,Mercurial Superflyx 6 Club IC,369 ,369 SAR,0
1144,Seventy Five,Welt Detail Casual Sneakers,129 ,129 SAR,1
1145,Jack & Jones,Bob Leather Flip Flops,109 ,109 SAR,0
1146,Nike,SB Team Classic,399 ,399 SAR,0
1147,Puma,One 19.4 TF,240 ,240 SAR,0
1148,Nike,React Element 55 SE,699 ,699 SAR,0
1149,Nike,Mercurial Superfly Club 6 FG,369 ,369 SAR,0
1150,Burton,Tommy Formal Laceups,225 ,225 SAR,1
1151,Nike,Phantom Venom Elite FG,1249 ,1249 SAR,0
1152,Crep protect,Ultimate Shoe Cleaning Kit,85 ,85 SAR,0
1153,Reserved,Trampki Slip Ons,"145 
                     
                    118 ","145 SAR
                     
                    118 SAR",0
1154,adidas,X Tango 18.3 TF,"375 
                     
                    206 ","375 SAR
                     
                    206 SAR",0
1155,Call It Spring,Johen Slides,"169 
                     
                    101 ","169 SAR
                     
                    101 SAR",1
1156,Brave Soul,Striped Mesh Slides,"49 
                     
                    34 ","49 SAR
                     
                    34 SAR",0
1157,Hype,Script Flip Flops,"69 
                     
                    38 ","69 SAR
                     
                    38 SAR",1
1158,Steve Madden,Casual Slip Ons,"279 
                     
                    167 ","279 SAR
                     
                    167 SAR",1
1159,Steve Madden,Fulton Sneakers,"299 
                     
                    224 ","299 SAR
                     
                    224 SAR",1
1160,Call It Spring,Dwigowiel Slip Ons,"249 
                     
                    149 ","249 SAR
                     
                    149 SAR",0
1161,Hype,Script Flipflops,"69 
                     
                    41 ","69 SAR
                     
                    41 SAR",0
1162,Seventy Five,Casual Sneakers,"150 
                     
                    68 ","150 SAR
                     
                    68 SAR",0
1164,Tommy Jeans,Logo Print Casual Slides,"225 
                     
                    135 ","225 SAR
                     
                    135 SAR",0
1165,Polo Ralph Lauren,Whitlebury II Casual Flip Flops,"150 
                     
                    90 ","150 SAR
                     
                    90 SAR",1
1166,adidas,X 18.3 FG,"375 
                     
                    206 ","375 SAR
                     
                    206 SAR",0
1167,adidas,X 18.3 FG,"375 
                     
                    235 ","375 SAR
                     
                    235 SAR",0
1168,adidas,Nemeziz Messi Tango TF,"375 
                     
                    281 ","375 SAR
                     
                    281 SAR",0
1169,Cotton On,Essential Bedroom Boots,"95 
                     
                    71 ","95 SAR
                     
                    71 SAR",1
1171,Jack & Jones,Nubuck Boots,"345 
                     
                    224 ","345 SAR
                     
                    224 SAR",0
1172,adidas,Predator 18.3 FG,"375 
                     
                    244 ","375 SAR
                     
                    244 SAR",0
1173,Seventy Five,Casual Sneakers,"125 
                     
                    63 ","125 SAR
                     
                    63 SAR",1
1174,adidas,Nemeziz 18.4 FG,"275 
                     
                    179 ","275 SAR
                     
                    179 SAR",0
1175,adidas,X Tango 18.3 IN,"375 
                     
                    187 ","375 SAR
                     
                    187 SAR",0
1176,Converse,Chuck Taylor All Star 1970's,"377 
                     
                    245 ","377 SAR
                     
                    245 SAR",0
1177,Jack & Jones,Albany Boots,"369 
                     
                    221 ","369 SAR
                     
                    221 SAR",0
1178,adidas Originals,Campus,"425 
                     
                    340 ","425 SAR
                     
                    340 SAR",0
1179,adidas Originals,Samba,"475 
                     
                    380 ","475 SAR
                     
                    380 SAR",0
1180,adidas,Alphabounce RC 2.0,375 ,375 SAR,0
1181,Fila,Morro Bay Slides,120 ,120 SAR,0
1182,adidas Originals,U_Path Run,425 ,425 SAR,0
1184,Jack & Jones,Logo Flip Flops,39 ,39 SAR,1
1187,adidas Originals,Deerupt Runner,499 ,499 SAR,0
1188,adidas Originals,Campus,"420 
                     
                    336 ","420 SAR
                     
                    336 SAR",0
1189,Under Armour,Thrill 3,"335 
                     
                    268 ","335 SAR
                     
                    268 SAR",0
1190,Reebok,Driftium,290 ,290 SAR,0
1191,adidas,Energy Cloud 2,325 ,325 SAR,0
1193,Skechers,Bounder,225 ,225 SAR,0
1194,Converse,Chuck Taylor All Star,275 ,275 SAR,1
1195,Seventy Five,Casual Sneakers,"125 
                     
                    63 ","125 SAR
                     
                    63 SAR",0
1196,adidas,Crazytrain Elite,"605 
                     
                    363 ","605 SAR
                     
                    363 SAR",0
1197,Polo Ralph Lauren,Dunovin Sneakers,"620 
                     
                    372 ","620 SAR
                     
                    372 SAR",0
1198,Polo Ralph Lauren,Cayson Pool Slide,"209 
                     
                    125 ","209 SAR
                     
                    125 SAR",0
1199,Reebok,Cash Flip Flops,"100 
                     
                    65 ","100 SAR
                     
                    65 SAR",0
1200,Diesel,Nihhao Flipflops,"280 
                     
                    123 ","280 SAR
                     
                    123 SAR",0
1201,Polo Ralph Lauren,Thompson Slip On Sneaker,"380 
                     
                    228 ","380 SAR
                     
                    228 SAR",1
1202,Reebok,Cash Flip Flops,"100 
                     
                    55 ","100 SAR
                     
                    55 SAR",0
1203,Robert Wood,Formal Boots,"139 
                     
                    69 ","139 SAR
                     
                    69 SAR",0
1204,Asics,GEL - Lyte,"445 
                     
                    223 ","445 SAR
                     
                    223 SAR",1
1205,Call It Spring,Wardell  Flip Flops,"119 
                     
                    77 ","119 SAR
                     
                    77 SAR",1
1206,Call It Spring,Adocien Double Strap  Sandals,"209 
                     
                    125 ","209 SAR
                     
                    125 SAR",0
1209,Nike,Downshifter 8,299 ,299 SAR,0
1211,Skechers,Go Run Mojo,265 ,265 SAR,1
1212,Nike,Epic React Flyknit 2,799 ,799 SAR,0
1213,adidas,Adilette Slides,189 ,189 SAR,0
1214,adidas,Predator Tango 18.4 IN,"275 
                     
                    206 ","275 SAR
                     
                    206 SAR",0
1216,adidas,Alphabounce RC 2 M,375 ,375 SAR,0
1217,Vans,Anaheim Factory Style 73 DX,289 ,289 SAR,0
1218,Skechers,D'Lites 2.0 Tidal V,345 ,345 SAR,0
1221,adidas,Duramo Lite 2.0,250 ,250 SAR,0
1222,Brave Soul,Lycra Sneakers,129 ,129 SAR,0
1223,adidas Originals,Campus,425 ,425 SAR,0
1225,adidas,Runfalcon,250 ,250 SAR,0
1226,Vans,Old Skool OS,289 ,289 SAR,0
1228,Seventy Five,Casual Sneakers,"160 
                     
                    72 ","160 SAR
                     
                    72 SAR",0
1229,Nike,Odyssey React,649 ,649 SAR,0
1231,adidas,X 18.3 TF,400 ,400 SAR,0
1232,Nike,FS Lite Run 4,"419 
                     
                    335 ","419 SAR
                     
                    335 SAR",0
1233,adidas Originals,Superstar,"475 
                     
                    285 ","475 SAR
                     
                    285 SAR",0
1234,adidas Originals,3MC,"325 
                     
                    244 ","325 SAR
                     
                    244 SAR",0
1235,Nike,Solay Thong,"156 
                     
                    101 ","156 SAR
                     
                    101 SAR",0
1236,Nike,Zoom Stefan Janoski Slip On,"419 
                     
                    251 ","419 SAR
                     
                    251 SAR",0
1237,adidas,Nemeziz Tango 18.3 TF,"375 
                     
                    281 ","375 SAR
                     
                    281 SAR",0
1238,Vans,Sk8 Hi,"293 
                     
                    234 ","293 SAR
                     
                    234 SAR",1
1239,Ecco,Flowt LX Cross Strap Slide Sandals,"749 
                     
                    562 ","749 SAR
                     
                    562 SAR",1
1240,adidas Originals,Campus,"475 
                     
                    297 ","475 SAR
                     
                    297 SAR",0
1241,Nike,Phantomx 3 Academy TF,"399 
                     
                    239 ","399 SAR
                     
                    239 SAR",0
1242,adidas,Energy Cloud 2,"315 
                     
                    252 ","315 SAR
                     
                    252 SAR",0
1243,FitFlop,Lido II Slides,259 ,259 SAR,1
1244,FitFlop,Bando Embossed Slides,509 ,509 SAR,1
1250,adidas Originals,Rivalry RM Low,599 ,599 SAR,0
1251,Slydes,Cali Camo Slides,125 ,125 SAR,0
1252,Seventy Five,HIGH VOLTAGE Sneakers,119 ,119 SAR,0
1253,New Look,Fortune Boat Shoes,179 ,179 SAR,0
1254,Seventy Five,Faux Leather Casual Sneakers,129 ,129 SAR,1
1255,Ecco,Lisbon Slip Ons,749 ,749 SAR,0
1256,Reebok,Aztrek,500 ,500 SAR,1
1257,Seventy Five,Webbing Detail Slip On Sneakers,139 ,139 SAR,0
1258,Puma,Bari,230 ,230 SAR,0
1259,Comfort Plus,Arabic Sandals,249 ,249 SAR,0
1264,Seventy Five,Beach Rubber Clogs,79 ,79 SAR,1
1265,Aldo,Ocein Slip ons,339 ,339 SAR,1
1266,Lacoste,Croco 219 Slides,249 ,249 SAR,0
1267,Under Armour,Ripple Elevated,319 ,319 SAR,1
1269,Guess,Doro Flip Flops,195 ,195 SAR,0
1270,Aldo,Edaonna Loafers,469 ,469 SAR,0
1272,Lacoste,Croco Flip Flops,179 ,179 SAR,1
1273,Aldo,Fematre Slip ons,469 ,469 SAR,0
1275,Superdry,Logo Pool Slides,85 ,85 SAR,0
1276,New Look,Taylor Horsebit Loafers,155 ,155 SAR,0
1277,Diesel,Valla Logo Slides,229 ,229 SAR,0
1278,Puma,Smash V2 L,255 ,255 SAR,0
1280,Jack & Jones,Nimbus Denim  Mix Sneakers,129 ,129 SAR,1
1281,Robert Wood,Leather Sandals,159 ,159 SAR,0
1282,Aldo,Thymel Flip flops,129 ,129 SAR,0
1283,Puma,SF Ferarri Future Kart Cat,450 ,450 SAR,0
1284,Mango MAN,Gomet Driver Loafers,399 ,399 SAR,0
1286,Under Armour,Charged Assert 8,299 ,299 SAR,0
1288,Skechers,Go Walk 5- Apprize,265 ,265 SAR,0
1291,Nike,Legend 8 Club IC,279 ,279 SAR,0
1292,adidas,Adilette Sandal,189 ,189 SAR,0
1294,Nike,Revolution 4,269 ,269 SAR,0
1295,Nike,Jordan Super.Fly Team Slide 2,229 ,229 SAR,0
1296,adidas,X 18.4 TF,275 ,275 SAR,0
1300,Onitsuka Tiger,Mexico 66,394 ,394 SAR,0
1301,Loungeable,Gorilla Bedroom Slipper,79 ,79 SAR,0
1302,Nike,Air Max Sequent 4,529 ,529 SAR,1
1303,Mango MAN,Classic Sneakers,179 ,179 SAR,0
1305,Slydes,Cali Logo Pool Slide,85 ,85 SAR,1
1306,Ecco,Reciprico Moccasins,799 ,799 SAR,0
1307,Seventy Five,Webbing Detail Sneakers,139 ,139 SAR,0
1308,Call It Spring,Otsamo Sneakers,159 ,159 SAR,0
1309,Aldo,Fildes Driver Loafers,499 ,499 SAR,0
1310,Skechers,Go Meb Razor,470 ,470 SAR,1
1313,Burton,Shadow Flyknit Sneakers,145 ,145 SAR,0
1314,Puma,Shoku Koinobori,460 ,460 SAR,0
1316,Skechers,Evented- Arven,185 ,185 SAR,0
1319,adidas,Questar Ride,349 ,349 SAR,1
1320,Jack & Jones,Byson Sneakers,185 ,185 SAR,0
1321,Call It Spring,Kauwet Sneakers,249 ,249 SAR,0
1323,Nike,SB Check Solar Cnvs,329 ,329 SAR,0
1324,Tommy Hilfiger,Criss Cross Leather Slides,305 ,305 SAR,1
1327,Tommy Hilfiger,Corporate Flip Flops,249 ,249 SAR,0
1328,Burton,Tassel Loafers,179 ,179 SAR,0
1329,Puma,Classico C II Sala,220 ,220 SAR,0
1333,Nike,Legend 8 Club TF,279 ,279 SAR,0
1334,Reebok,Lite,225 ,225 SAR,0
1335,Vans,Classic Comfycush Authentic,269 ,269 SAR,0
1339,GANT,Hero Sneakers,379 ,379 SAR,0
1341,Tommy Hilfiger,Maxwell Sneaker,459 ,459 SAR,0
1342,Skechers,Bounder,245 ,245 SAR,0
1343,adidas,Solar Glide 19,649 ,649 SAR,0
1347,Tommy Jeans,Logo Classic Sneakers,329 ,329 SAR,0
1355,Nike,Jordan Super.Fly Team Slide,249 ,249 SAR,0
1360,Puma,Cell Alien OG,540 ,540 SAR,0
1361,Nike,Jordan 0 Gravity,529 ,529 SAR,0
1362,adidas,Ultraboost 19,900 ,900 SAR,0
1364,adidas,Alphaboost Parley,699 ,699 SAR,0
1366,Reebok,Forever Floatride Energy,500 ,500 SAR,0
1370,Burton,Essential Trainers,129 ,129 SAR,0
1371,adidas,Nemeziz 18.4 TF,275 ,275 SAR,0
1372,Robert Wood,Tape Detail Moccasins,119 ,119 SAR,1
1373,Asics,GEL-Kayano 26,835 ,835 SAR,0
1374,Vans,ComfyCush Era,289 ,289 SAR,0
1375,Vans,Harry Potter Deathly Hallows Old Skool,319 ,319 SAR,0
1376,Umbro,Run,335 ,335 SAR,1
1377,Skechers,Go Run Mojo - Mania,260 ,260 SAR,0
1378,Nike,Kyrie Low 2,599 ,599 SAR,0
1380,Skechers,Flex Advantage SR,315 ,315 SAR,0
1383,Nike,MD Runner 2 19,399 ,399 SAR,0
1384,Topman,Weave Mantis Loafers,249 ,249 SAR,0
1385,Asics,Frequent Trail,265 ,265 SAR,0
1386,Vans,Slip ons,249 ,249 SAR,0
1388,Skechers,After Burn Memory Fit - Geardo,290 ,290 SAR,0
1390,Puma,RS-X Tech,560 ,560 SAR,0
1392,Onitsuka Tiger,Mexico 66,395 ,395 SAR,0
1393,Seventy Five,HIGH VOLTAGE Sneakers,119 ,119 SAR,1
1401,Nike,Ebernon Mid,399 ,399 SAR,0
1402,Reebok,3D Fusion TR,235 ,235 SAR,0
1406,Asics,GEL-Nimbus 21,835 ,835 SAR,0
1407,Brave Soul,Mateo Velcro Slides,49 ,49 SAR,1
1408,Call It Spring,Diarwen Slip ons,209 ,209 SAR,1
1409,Skechers,Hartan,390 ,390 SAR,0
1412,adidas,Predator 19.3 TF,400 ,400 SAR,0
1413,Call It Spring,Ivanovsky Sneakers,289 ,289 SAR,0
1417,Puma,Suede Classic+,345 ,345 SAR,0
1418,adidas Originals,Gazelle,475 ,475 SAR,0
1421,Puma,Hybrid Astro,540 ,540 SAR,0
1423,Seventy Five,Dog Bedroom Slippers,79 ,79 SAR,0
1427,New Look,Byron Weave Lace Ups,209 ,209 SAR,0
1430,Robert Wood,Brogue Leather Formal Lace Up,259 ,259 SAR,0
1434,adidas,Predator 19.3 TR,399 ,399 SAR,0
1435,adidas,X 18.4 IN,275 ,275 SAR,0
1436,Jack & Jones,Trent Synth Suede Sneakers,183 ,183 SAR,0
1437,Puma,Escaper Mesh,225 ,225 SAR,0
1442,Vans,Era,289 ,289 SAR,0
1444,Skechers,Oak Canyon,260 ,260 SAR,0
1445,Seventy Five,Velcro Flat Sandals,39 ,39 SAR,1
1446,Jack & Jones,Vision Suede Sneakers,219 ,219 SAR,0
1448,Puma,Thunder Nature,590 ,590 SAR,0
1449,adidas Originals,Gazelle,420 ,420 SAR,0
1450,Reebok,Classics Leather ATI 3.0,480 ,480 SAR,0
1452,Umbro,Run,335 ,335 SAR,0
1453,Nike,Air Max Axis PREM,599 ,599 SAR,0
1455,Skechers,Mark Nason,395 ,395 SAR,0
1456,Lacoste,Croco 219 Slides,139 ,139 SAR,0
1457,Topman,Lace Trainers,199 ,199 SAR,0
1458,Le Coq Sportif,Zepp,445 ,445 SAR,0
1459,Bass Weejuns,Lincoln Slip ons,665 ,665 SAR,0
1460,Superdry,Carbon Pool Slides,99 ,99 SAR,0
1464,Reebok,Run Cruiser,310 ,310 SAR,0
1465,Puma,Suede Classic Blanket Stitch,410 ,410 SAR,0
